No.;JOURNAL 2017;Impact_Factor_2017;ARTICLES (included and excluded);Article included or excluded ?;Conclusion;"Biological repetition  (Triplicated refers to > or = three times); or meta-analysis.";More_or_not;Considered as having more than three replicated results  ?;Exclusion criterion note. (gmos = genetically modified organisms created in this study and likely not bulked);Global or pooled p value, limit or result, found (sometimes indicated by global means with pooled results);Post-hoc or individual repeat p value, limit or result, found;Chosen relevant aim/result with categorically distinct groups;Note on study design;Categorically distinct groups;Chosen relevant quantitative parameter;Relevant statistical method(s).;One relevant p value, limit or result.;Factor replicated;Was evidence found for method replication ?;Was evidence found for replication of results ?;Results shown for each of the two, three (or more) experimental replicates ?;p-value or limit found in Abstract;p-value or limit found in Figures or Tables;p-value or limit found in text;p-value or limit found in supplementary file;Further notes.;Further notes 2.;"Risk: Evaluation is for main result. Low = p value or limit clearly for a main result; Medium = unclear if p value or limit  is for main result. Note this is for interest only - and non-main results were not excluded.";Risk: Repetition. Risk that number of replicates recorded is incorrect: Low = number of repeats clear including non-repeated. Medium = doubts arise as to how many times the investigation has been repeated or not. High = unclear how many times the investigation has been repeated or not. ;Risk: Repetition of p value (or p-value limit). Low = clear that p value has been repeated or not repeated. Medium = doubts arise as to whether the p value has been repeated or where the other p-values are (or whether it was obtained from all repeated results combined i.e. a Global p-value(s)). High = unclear whether the p value has been repeated or not. ;Details concerning relevant groups;Evidence for manipulation or random placement of groups during study;Indication of Association study;Notes;ASSOC_EXP;"Risk: reflecting doubts concerning identification of association or experimental: L = low; M = medium, H = high"
11;Rice Science;1.521;"Jannoey P, Channei D, Kotcharerk J, Pongprasert W, Nomura M. Expression Analysis of Genes Related to Rice Resistance Against Brown Planthopper, Nilaparvata lugens. Rice Science. 2017;24: 163–172. ";Included;Global (triplicated-methods) protocol;Triplicated and results - but individual results not presented;no;no;n.a.;Yes: from pooled value(s);Not found;"Introduction: ""differential expression of genes involved in pathogenesis response, signaling and lignin biosynthesis-related genes and antioxidant defence-response in rice using quantitative real-time PCR (qRT-PCR)"""; - ;plus or minus infestation with brown plant-hopper;quantitative gene expression;"""Tukey’s test at the 0.05 level""";p < 0.05;Experiment;"Yes - ""The experiment was replicated three times.""";"Yes - ""The experiment was replicated three times.""";Not found; - ;"Fig 4. ""Data were analyzed at the 0.05 level. """; - ; - ;"""The experiment was replicated three times."""; - ;L;L;M;plus or minus infestation with brown plant-hopper;"Methods: ""After 10 days sowing,
rice seedlings were infested with BPH nymphs """;n.a.; - ;Experimental;L
12;ALGAE;1.556;"Du Y, Guan J, Xu R, Liu X, Shen W, Ma Y, et al. Molecular cloning and expression analysis of the first two key genes through 2-C-methyl-D-erythritol 4-phosphate (MEP) pathway from Pyropia haitanensis (Bangiales, Rhodophyta). Algae. 2017 Dec 15;32(4):359–77. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes;Not found;"Introduction: ""Expression levels of P. haitanensis DXS (PhDXS) and DXR (PhDXR) in different life phases were analyzed."""; - ;Fig 9. Filamentous or Leafy forms and genes DXS and DXR.;Relative expression levels.;"""Oneway analysis of variance (ANOVA) and Scheffé post-mortem examination, the significance level was set at alpha 
= 0.01 / 0.05.""";p < 0.05 (Fig 9);"Plant ""3 independent 
biological replicates,""";"Yes: Fig 11: ""3 independent 
biological replicates,""";No;No; - ;Fig 9. p < 0.05; - ; - ; - ; - ;L;L;L;Fig 9. Filamentous or Leafy forms and genes DXS and DXR.;"Methods: ""both of them were grown and maintained at 18°C, and at a light intensity of 50 μmol photons""";n.a.; - ;Experimental;M
13;Journal of Plant Interactions;1.655;"Thi HL, Zhou H, Lin C-H, Liu S, Berezin MY, Smeda RJ, et al. Synthesis and plant growth inhibitory activity of N-trans-cinnamoyltyramine: its possible inhibition mechanisms and biosynthesis pathway. Journal of Plant Interactions. 2017;12: 51–57. ";Included;Global (duplicated-methods) protocol;Duplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Introduction: ""evaluate the allelopathic activity of synthetic compound NTCT"" [N-trans-cinnamoyltyramine]";"Methods: ""The bioassays on cress and barnyardgrass were conducted twice using a completely randomized design with four replications following the bioassay procedure described by Thi et al.""";Cress or Barnyardgrass (and shoot or root);ED50 values Fig 5.;Duncan’s multiple range tests at P ≤ .001;p < 0.001;Experiment;"Yes: Methods: ""The bioassays on cress and barnyardgrass were conducted twice using a completely randomized design with four replications""";No;no; - ;"Fig 5 ""Vertical bars indicate the standard error of the means. Means followed by the same letter are not significantly different using Duncan’s multiple range test at P ≤ .001."""; - ; - ; - ; - ;L;L;L;Cress or Barnyardgrass (and shoot or root);"Methods: ""The bioassays on cress and barnyardgrass were conducted twice using a completely randomized design with four replications following the bioassay procedure described by Thi et al.""";n.a.; - ;Experimental;L
14;PLANT SPECIES BIOLOGY;1.673;"López-sepúlveda P, Takayama K, Crawford DJ, Greimler J, Peñailillo P, Baeza M, Ruiz E, Kohl G, Tremetsberger K, Gatica A, Letelier L, Novoa P, Novak J, Stuessy TF. Biogeography and genetic consequences of anagenetic speciation of Rhaphithamnus venustus (Verbenaceae) in the Juan Fernández archipelago, Chile: insights from AFLP and SSR markers. Plant Species Biology. 2017;32(3):223–37. ";Included;Global (replication-error) protocol (variance);Triplicated results;Yes - 8 (= number of populations for R. spinosus);Yes;n.a.;"AS had significantly
higher diversity for observed and expected heterozygosity
and allelic richness (Tables 3)";not given - but variance among and within populations is given as equivalent (Table 5);"Abstract: ""Two molecular markers, amplified fragment length polymorphisms (AFLPs) and microsatellites, were used to estimate divergence between the continental and insular species, and to compare diversity in the two species.""";sources of variation: Table 5: among islands, among populations, within populations ;Species;average genetic diversity over loci (AGDOL);Mann–Whitney Utest;not found - replication variances given instead ;Population;Yes: Table 5: variance components shown for among and within populations;Yes: Table 5: variance components shown for among and within populations;Yes: Table 5: variance components shown for among and within populations; - ; - ; - ; - ;Individual p-values not given - but replication variances are shown in Table 5.;;L;L;H;Species;Not found;"Abstract: ""The island species Rhaphithamnus venustus differs from the continental R. spinosus primarily by oral traits associated with adaptation to hummingbird pollination. Two molecular markers, amplified fragment length polymorphisms (AFLPs) and microsatellites, were used to estimate divergence between the continental and insular species""";observations involved use of complex techniques;Association;M
15;PHOTOSYNTHETICA;1.740;"Amoozgar A, Mohammadi A, Sabzalian MR. Impact of light-emitting diode irradiation on photosynthesis, phytochemical composition and mineral element content of lettuce cv. Grizzly. Photosynt. 2017 Mar 1;55(1):85–95.";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 6;No;n.a.;Yes;No;"Introduction: ""to determine the effects of different LED-light sources on the growth, photosynthesis, and mineral element concentrations of the crisphead lettuce cv. Grizzly""";"""Values represent means of six replicates.""";LED colour;Table 2. Chlorophyll a concentration.;"""After an analysis of variance (ANOVA), significant differences between means were determined by least significant difference (LSD) test (p<0.05).""";p<0.05;Plant;"Yes: Table 2: ""Values represent means of six replicates.""";No;No; - ;Table 2. p < 0.05; - ; - ; - ; - ;L;L;L;LED colour;"Introduction: ""to determine the effects of different LED-light sources on the growth, photosynthesis, and mineral element concentrations of the crisphead lettuce cv. Grizzly""";n.a.; - ;Experimental;L
16;WEED RESEARCH;1.766;"Thapa LB, Kaewchumnong K, Sinkkonen A, Sridith K. Plant invasiveness and target plant density: high densities of native Schima wallichii seedlings reduce negative effects of invasive Ageratina adenophora. Weed Research. 2017;57(2):72–80. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 5 pots;No;n.a.;"Yes: ""litter reduced the length of S. wallichii roots by 42% in uninvaded soil and by 46% in invaded soil ( p < 0.001""";Not found;"Introduction: ""We hypothesised that (i) S. wallichii seedlings growing in soil collected from A. adenophora invaded habitats grow less vigorously than seedlings growing in soil that were collected from uninvaded habitats""";"Methods: ""Three seedlings were grown in each pot, and there were five replicate pots per treatment.""";Uninvaded or invaded soil, litter or no litter;Root length;two-way ANOVA;p < 0.001 (Table 2);plot;"Yes: Methods: ""Three seedlings
were grown in each pot, and there were five replicate pots per treatment.""";No;No; - ;Table 2. Root length and litter type p < 0.001; - ; - ; - ; - ;L;L;L;Uninvaded or invaded soil, litter or no litter;"Methods: ""Three seedlings were grown in each pot, and there were five replicate pots per treatment.""";n.a.; - ;Experimental;L
17;TREES-STRUCTURE AND FUNCTION;1.782;"Sotelo Montes C, Weber JC, Garcia RA, Silva DA, Muñiz GIB. Variation in growth, wood stiffness and density, and correlations between growth and wood stiffness and density in five tree and shrub species in the Sahelian and Sudanian ecozones of Mali. Trees. 2017;31: 833–849. ";Included;Triple result (repetition) protocol;Triplicated results;Yes - 5;no - only 3 species gave similar results;n.a.;n.a.;Individual differences given.;"Introduction: ""Tree height and height/diameter ratio are greater in sites with higher tree density (Jiang et al. 2007; Warren et al. 2009) which in this study are woodlands (rather than parkland agroforests), sites with sandy and sandy/loam soils (rather than rocky soils), and sites with higher mean annual rainfall.""";"""Four growth variables and five wood variables were analyzed:""";Table 3. Parkland, Woodland;Tree height;Comparison of linear regression parameters among regions;p < 0.001;Species;Yes - Table 3. Land use type.;Yes - Table 3. Land use type.;Yes - Table 3. Land use type.; - ; - ;the significance level was a < 0.05 for all tests; - ;"""Analysis within species indicated that some growth variables of all species and wood stiffness and/or specific stiffness of three species differed significantly among regions (Table 2)"""; - ;M;L;L;Table 3. Parkland, Woodland;Not found;"Methods: ""The five species were sampled along five latitudinal tran-
sects """;"Methods: ""Then the tree was cut down and a sample of the stem (30 cm long) was obtained between 30 and 60 cm above ground. The north- and south-facing sides of the stem were labeled on the bark and on the cut surfaces of the stem for reasons explained below""";Association;M
18;AQUATIC BOTANY;1.787;"Lawrence BA, Lishawa SC, Hurst N, Castillo BT, Tuchman NC. Wetland invasion by Typha×glauca increases soil methane emissions. Aquatic Botany. 2017;137: 80–87. ";Included;Triple result (repetition) protocol;Triplicated results;no;no;n.a.;n.a.;Table 1. C:N;"Introduction: ""we compared the methane production potential of soils collected from Typha- invaded and native wet meadow stands from three Midwestern wetlands (USA); we expected greater methane production from Typha-invaded soils and that production rates would be positively correlated with soil C and N."""; - ;Typha-invaded or native wet meadow;Methane production;"""two-way Analysis of Variance (ANOVA)"" ""We made post-hoc pair-wise comparisons among sites with Tukey HSD ( < 0.05), and used linear regressions to investigate correlative relationships between soil parameters and methane production potential""";p < 0.0001;Soil samples;Yes - three sites;Yes - Fig 1;Yes - Fig 1; - ; - ;"""Redox measurements did not differ significantly among sampling dates, so data were averaged across sampling dates. Soils subjected to high water levels had greater C (F1,16 = 5.9, p = 0.027), lower pH (F1,16 = 8.8, p = 0.009), and lower redox (F1,8 = 132.9, p < 0.0001) compared to low water levels """; - ;"""We examined the effects of Typha × glauca invasion on soil methane using laboratory incubation and controlled mesocosm experiments. Typhainvaded soils collected from three Midwestern (USA) wetlands had greater methane production potential during laboratory incubation than soils dominated by native wet meadow vegetation"""; - ;L;L;M;Typha-invaded or native wet meadow;Not found for Fig 1;"Introduction: ""we compared the methane production potential of soils collected from Typha- invaded and native wet meadow stands from three Midwestern wetlands (USA); we expected greater methane production from Typha-invaded soils and that production rates would be positively correlated with soil C and N.""";there is also a mesocosm experiment in this paper;Association;H
19;PLANT MOLECULAR BIOLOGY REPORTER;1.844;"Mihailova G, Abakumov D, Büchel C, Dietzel L, Georgieva K. Drought-Responsive Gene Expression in Sun and Shade Plants of Haberlea rhodopensis Under Controlled Environment. Plant Molecular Biology Reporter. 2017;35: 313–322. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);not found;"Introduction: ""Comparing the effect of desiccation in two differently light-acclimated populations, where plants grow under very low light intensity below the trees (shade plants) or on the top of rocks exposed to full sunlight (sun plants)""";Although the dehydration is a series - the rehydration is only performed once.;shade, sun, dessicated and rehydrated;Gene expression;"""Student’s t test.""";p < 0.001;plant;"Yes: Methods: ""three biological replicates using the SensiFAST""";no;no; - ; - ;"""The water use efficiency (WUE) of control sun plants was statistically higher compared to shade plants (p < 0.001)"""; - ;""" Quantitative PCR (qPCR) was conducted with an Mx3000P real-time platform (Agilent Technologies Deutschland GmbH, Böblingen, Germany) and was carried out in three biological replicates using the SensiFAST"""; - ;M;L;L;shade, sun, dessicated and rehydrated;"Methods: ""After acclimation in a climatic chamber for 10 days, the plants were subjected to drought stress by withholding irrigation in a climatic chamber""";n.a.; - ;Experimental;L
20;Forests;1.956;"Martínez-Sancho E, Vásconez Navas LK, Seidel H, Dorado-Liñán I, Menzel A. Responses of Contrasting Tree Functional Types to Air Warming and Drought. Forests. 2017;8: 450. ";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Individual differences given. Fig 2.;"Introduction: ""Are there inter-specific differences in the response to [artificially-induced] prolonged drought and warming?"""; - ;Species and treatments. Fig 2.;Fig 2. Diameter increment;"""Kruskal-Wallis tests. To test pairwise differences, a Dunn´s test with a Bonferroni correction was performed.""";p < 0.001;Year of treatment;Yes: Fig 2.;Yes: Fig 2.;Yes: Fig 2.; - ;Figure 5. Relationships and their exponential fit between stomatal conductance gs and stem water potential ΨSTEM in 2015. *** p < 0.001.; - ; - ;"""Climate conditions during the two treatment periods in 2014 and 2015."" "; - ;L;L;L;Species and treatments. Fig 2.;"Introduction: ""Are there inter-specific differences in the response to [artificially-induced] prolonged drought and warming?""";n.a.; - ;Experimental;L
21;JOURNAL OF PLANT RESEARCH;2.000;"Gourieroux AM, Holzapfel B, Mccully M, Scollary G, Rogiers S. Vascular development of the grapevine (Vitis vinifera L.) inflorescence rachis in response to flower number, plant growth regulators and defoliation. Journal of Plant Research. 2017;130:873-883.";;Global (duplicated-methods) protocol;Duplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Table 7: ""Berry composition in response to flower removal, hormonal treatments and leaf removal""";"""No seasonal differences were apparent and values represent the means of two seasons and three ripening stages (veraison, mid-ripening and harvest, n = 24)."" ";two grape varieties;berry fresh mass;"""Analysis of variance and Fisher’s LSD test""";p<0.001;experiment -  two seasons;"Yes: Table 7: ""No seasonal differences were apparent and values represent the means of two seasons and three ripening
stages (veraison, mid-ripening and harvest, n = 24).""";"Yes: Table 7: ""No seasonal differences were apparent and values represent the means of two seasons and three ripening
stages (veraison, mid-ripening and harvest, n = 24).""";no; - ;Fig 7: p<0.001; - ; - ; - ; -  ;M;L;L;"two grape varieties Table 7: ""Berry composition in response to flower removal, hormonal treatments and leaf removal""";"Table 7: ""Berry composition in response to flower removal, hormonal treatments and leaf removal""";n.a.; - ;Experimental;L
